Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 ,L2 ,L3 ,L4 ,L5 ,Comment,Sample Name
Blank,Blank_01,1,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,Blank_01
Blank,Blank_02,1,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,Blank_02
Std Bracket,Blank_03,1,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,Blank_03
Unknown,QC_neg_ID_01,1,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS2Stepped_MITAuto-54_R120-30k_Excl,,,Y:E11,1,,0,0,0,1,,,,,,,QC_neg_ID_01
Unknown,QC_neg_ID_02,1,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS2Stepped_MITAuto-54_R120-30k_Excl,,,R:A1,1,,0,0,0,1,,,,,,,QC_neg_ID_02
Unknown,20210412_DR_UMETAB197_Blank1_NEG,,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,20210412_DR_UMETAB197_Blank1_NEG
Unknown,20210412_DR_UMETAB197_AAmix_NEG,,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,R:A2,1,,0,0,0,1,,,,,,,20210412_DR_UMETAB197_AAmix_NEG
Unknown,20210412_DR_UMETAB197_Blank3_NEG,,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,20210412_DR_UMETAB197_Blank3_NEG
Unknown,20210412_DR_UMETAB197_QC1_NEG,,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,Y:F11,1,,0,0,0,1,,,,,,,20210412_DR_UMETAB197_QC1_NEG
Unknown,20210412_DR_UMETAB197_QC2_NEG,,D:\20210412_DR_UMETAB197_LJM\20210412_DR_UMETAB197_LJM_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,Y:F11,1,,0,0,0,1,,,,,,,20210412_DR_UMETAB197_QC2_NEG
